lemma	PoS	sentiment	weight
abgeschlossenheit	N	0.7773991727760695	7.9662329971190555
abgeschmackt	AJ	-0.7773991727760695	7.9662329971190555
abgeschmacktheit	N	-0.8973370174923474	5.823034535803194
abgespannt	AJ	-0.4486685087461737	5.823034535803194
abgespanntheit	N	-0.9215755355455246	12.389833437207507
abgestanden	AJ	-0.4951912794968656	7.960283928821655
abgestanden	V	-0.628135912244643	5.823034535803194
abgestumpftheit	N	-0.9215755355455246	12.389833437207507
abgewogen	AJ	0.628135912244643	5.823034535803194
abgezehrt	AJ	-0.8973370174923474	5.823034535803194
abgezockt	AJ	-0.8973370174923474	5.823034535803194
abgleich	N	0.7773991727760695	7.9662329971190555
abgleichen	V	0.7773991727760695	7.9662329971190555
abgleiten	V	-0.7773991727760695	7.9662329971190555
